time,vertical_velocity,horizontal_velocity,dist,alt,ang,weight,acc,fuel,NN
1,43,1701.7,179298.3,13705,58.3,284.84,1.55,120.84,0.7
2,42.18,1700.38,177597.92,13662.82,58.3,284.69,1.56,120.69,0.71
3,41.36,1699.05,175898.88,13621.46,58.3,284.53,1.57,120.53,0.71
4,40.53,1697.71,174201.16,13580.93,58.3,284.37,1.58,120.37,0.71
5,39.71,1696.37,172504.79,13541.22,58.3,284.21,1.58,120.21,0.71
6,38.88,1695.02,170809.77,13502.34,58.3,284.05,1.59,120.05,0.72
7,38.05,1693.67,169116.1,13464.3,58.3,283.89,1.6,119.89,0.72
8,37.21,1692.31,167423.8,13427.09,58.3,283.73,1.61,119.73,0.72
9,36.37,1690.94,165732.86,13390.71,58.3,283.57,1.62,119.57,0.73
10,35.53,1689.56,164043.3,13355.18,58.3,283.41,1.62,119.41,0.73
11,34.69,1688.18,162355.11,13320.49,58.3,283.25,1.63,119.25,0.73
12,33.84,1686.8,160668.32,13286.65,58.3,283.08,1.64,119.08,0.74
13,32.99,1685.4,158982.92,13253.66,58.3,282.92,1.65,118.92,0.74
14,32.14,1684,157298.91,13221.52,58.3,282.75,1.65,118.75,0.74
15,31.29,1682.6,155616.32,13190.23,58.3,282.59,1.66,118.59,0.74
16,30.43,1681.18,153935.14,13159.8,58.3,282.42,1.67,118.42,0.75
17,29.57,1679.76,152255.37,13130.23,58.3,282.26,1.68,118.26,0.75
18,28.71,1678.34,150577.04,13101.53,58.3,282.09,1.68,118.09,0.75
19,27.84,1676.9,148900.13,13073.69,58.3,281.92,1.69,117.92,0.76
20,26.97,1675.46,147224.67,13046.71,58.3,281.75,1.7,117.75,0.76
21,26.1,1674.02,145550.65,13020.61,58.3,281.58,1.71,117.58,0.76
22,25.23,1672.57,143878.08,12995.39,58.3,281.41,1.71,117.41,0.77
23,24.27,1671.16,142206.93,12971.11,55.3,281.19,2.24,117.19,1
24,22.93,1669.38,140537.54,12948.18,52.3,280.98,2.18,116.98,0.97
25,21.54,1667.73,138869.81,12926.65,49.3,280.77,2.06,116.77,0.92
26,20.14,1666.25,137203.56,12906.5,46.3,280.58,1.93,116.58,0.86
27,18.77,1664.92,135538.64,12887.74,43.3,280.4,1.81,116.4,0.81
28,17.42,1663.75,133874.9,12870.32,40.3,280.23,1.69,116.23,0.75
29,16.11,1662.73,132212.17,12854.21,37.3,280.08,1.57,116.08,0.7
30,14.84,1661.84,130550.33,12839.37,34.3,279.94,1.45,115.94,0.64
31,13.64,1661.09,128889.24,12825.73,31.3,279.81,1.34,115.81,0.59
32,12.5,1660.46,127228.78,12813.24,28.3,279.68,1.23,115.68,0.55
33,11.42,1659.93,125568.85,12801.82,25.3,279.57,1.13,115.57,0.5
34,10.41,1659.5,123909.35,12791.4,22.3,279.47,1.03,115.47,0.46
35,9.48,1659.16,122250.19,12781.93,19.3,279.38,0.94,115.38,0.42
36,8.61,1658.9,120591.29,12773.31,16.3,279.3,0.86,115.3,0.38
37,7.82,1658.7,118932.59,12765.5,13.3,279.22,0.78,115.22,0.34
38,7.09,1658.56,117274.03,12758.41,10.3,279.15,0.71,115.15,0.31
39,6.42,1658.47,115615.55,12751.99,7.3,279.09,0.64,115.09,0.28
40,5.82,1658.43,113957.13,12746.16,4.3,279.03,0.58,115.03,0.26
41,5.28,1658.41,112298.71,12740.88,1.3,278.98,0.53,114.98,0.23
42,4.79,1658.41,110640.3,12736.09,0,278.93,0.48,114.93,0.21
43,4.35,1658.41,108981.89,12731.74,0,278.89,0.43,114.89,0.19
44,3.95,1658.41,107323.48,12727.79,0,278.85,0.39,114.85,0.17
45,3.6,1658.41,105665.07,12724.19,0,278.81,0.36,114.81,0.16
46,3.28,1658.41,104006.65,12720.92,0,278.78,0.33,114.78,0.14
47,2.99,1658.41,102348.24,12717.93,0,278.75,0.3,114.75,0.13
48,2.73,1658.41,100689.83,12715.2,0,278.73,0.27,114.73,0.12
49,2.5,1658.41,99031.42,12712.71,0,278.7,0.25,114.7,0.11
50,2.29,1658.41,97373,12710.42,0,278.68,0.23,114.68,0.1
51,2.1,1658.41,95714.59,12708.32,0,278.66,0.21,114.66,0.09
52,1.93,1658.41,94056.18,12706.4,0,278.64,0.19,114.64,0.08
53,1.77,1658.41,92397.77,12704.62,0,278.62,0.17,114.62,0.08
54,1.64,1658.41,90739.35,12702.99,0,278.61,0.16,114.61,0.07
55,1.51,1658.41,89080.94,12701.48,0,278.59,0.15,114.59,0.07
56,1.4,1658.41,87422.53,12700.08,0,278.58,0.14,114.58,0.06
57,1.3,1658.41,85764.12,12698.77,0,278.57,0.13,114.57,0.06
58,1.21,1658.41,84105.71,12697.56,0,278.56,0.12,114.56,0.05
59,1.13,1658.41,82447.29,12696.43,0,278.55,0.11,114.55,0.05
60,1.06,1658.41,80788.88,12695.38,0,278.54,0.1,114.54,0.05
61,0.99,1658.41,79130.47,12694.39,0,278.53,0.1,114.53,0.04
62,0.93,1658.41,77472.06,12693.45,0,278.52,0.09,114.52,0.04
63,0.88,1658.41,75813.64,12692.57,0,278.51,0.08,114.51,0.04
64,0.83,1658.41,74155.23,12691.74,0,278.5,0.08,114.5,0.04
65,0.79,1658.41,72496.82,12690.95,0,278.49,0.08,114.49,0.03
66,0.75,1658.41,70838.41,12690.2,0,278.49,0.07,114.49,0.03
67,0.72,1658.41,69180,12689.49,0,278.48,0.07,114.48,0.03
68,0.68,1658.41,67521.58,12688.8,0,278.47,0.06,114.47,0.03
69,0.66,1658.41,65863.17,12688.15,0,278.47,0.06,114.47,0.03
70,0.63,1658.41,64204.76,12687.52,0,278.46,0.06,114.46,0.03
71,0.61,1658.41,62546.35,12686.91,0,278.46,0.06,114.46,0.03
72,0.59,1658.41,60887.93,12686.32,0,278.45,0.06,114.45,0.02
73,0.57,1658.41,59229.52,12685.75,0,278.45,0.05,114.45,0.02
74,0.55,1658.41,57571.11,12685.2,0,278.44,0.05,114.44,0.02
75,0.54,1658.41,55912.7,12684.66,0,278.44,0.05,114.44,0.02
76,0.52,1658.41,54254.29,12684.13,0,278.43,0.05,114.43,0.02
77,0.51,1658.41,52595.87,12683.62,0,278.43,0.05,114.43,0.02
78,0.5,1658.41,50937.46,12683.12,0,278.42,0.05,114.42,0.02
79,0.49,1658.41,49279.05,12682.63,0,278.42,0.05,114.42,0.02
80,0.48,1658.41,47620.64,12682.14,0,278.41,0.04,114.41,0.02
81,0.48,1658.41,45962.22,12681.67,0,278.41,0.04,114.41,0.02
82,0.47,1658.41,44303.81,12681.2,0,278.4,0.04,114.4,0.02
83,0.46,1658.41,42645.4,12680.74,0,278.4,0.04,114.4,0.02
84,0.46,1658.41,40986.99,12680.28,0,278.4,0.04,114.4,0.02
85,0.45,1658.41,39328.57,12679.83,0,278.39,0.04,114.39,0.02
86,0.45,1658.41,37670.16,12679.38,0,278.39,0.04,114.39,0.02
87,0.44,1658.41,36011.75,12678.94,0,278.38,0.04,114.38,0.02
88,0.44,1658.41,34353.34,12678.5,0,278.38,0.04,114.38,0.02
89,0.44,1658.41,32694.93,12678.06,0,278.38,0.04,114.38,0.02
90,0.43,1658.41,31036.51,12677.63,0,278.37,0.04,114.37,0.02
91,0.43,1658.41,29378.1,12677.2,0,278.37,0.04,114.37,0.02
92,0.43,1658.41,27719.69,12676.77,0,278.37,0.04,114.37,0.02
93,0.43,1658.41,26061.28,12676.35,0,278.36,0.04,114.36,0.02
94,0.42,1658.41,24402.86,12675.93,0,278.36,0.04,114.36,0.02
95,0.42,1658.41,22744.45,12675.5,0,278.35,0.04,114.35,0.02
96,0.42,1658.41,21086.04,12675.09,0,278.35,0.04,114.35,0.02
97,0.42,1658.41,19427.63,12674.67,0,278.35,0.04,114.35,0.02
98,0.42,1658.41,17769.22,12674.25,0,278.34,0.04,114.34,0.02
99,0.42,1658.41,16110.8,12673.83,0,278.34,0.04,114.34,0.02
100,0.41,1658.41,14452.39,12673.42,0,278.34,0.04,114.34,0.02
101,0.41,1658.41,12793.98,12673.01,0,278.33,0.04,114.33,0.02
102,0.41,1658.41,11135.57,12672.59,0,278.33,0.04,114.33,0.02
103,0.41,1658.41,9477.15,12672.18,0,278.32,0.04,114.32,0.02
104,0.41,1658.41,7818.74,12671.77,0,278.32,0.04,114.32,0.02
105,0.41,1658.41,6160.33,12671.36,0,278.32,0.04,114.32,0.02
106,0.41,1658.41,4501.92,12670.95,0,278.31,0.04,114.31,0.02
107,0.41,1658.41,2843.5,12670.54,0,278.31,0.04,114.31,0.02
108,0.41,1658.41,1185.09,12670.13,0,278.31,0.04,114.31,0.02
109,0.41,1658.41,-473.32,12669.72,0,278.3,0.04,114.3,0.02
110,0.41,1658.41,-2131.73,12669.31,0,278.3,0.04,114.3,0.02
111,0.41,1658.41,-3790.14,12668.9,0,278.3,0.04,114.3,0.02
112,0.41,1658.41,-5448.56,12668.5,0,278.29,0.04,114.29,0.02
113,0.41,1658.41,-7106.97,12668.09,0,278.29,0.04,114.29,0.02
114,0.41,1658.41,-8765.38,12667.68,0,278.28,0.04,114.28,0.02
115,0.41,1658.41,-10423.79,12667.27,0,278.28,0.04,114.28,0.02
116,0.41,1658.41,-12082.21,12666.87,0,278.28,0.04,114.28,0.02
117,0.41,1658.41,-13740.62,12666.46,0,278.27,0.04,114.27,0.02
118,0.41,1658.41,-15399.03,12666.05,0,278.27,0.04,114.27,0.02
119,0.41,1658.41,-17057.44,12665.65,0,278.27,0.04,114.27,0.02
120,0.41,1658.41,-18715.85,12665.24,0,278.26,0.04,114.26,0.02
121,0.41,1658.41,-20374.27,12664.83,0,278.26,0.04,114.26,0.02
122,0.41,1658.41,-22032.68,12664.43,0,278.26,0.04,114.26,0.02
123,0.41,1658.41,-23691.09,12664.02,0,278.25,0.04,114.25,0.02
124,0.41,1658.41,-25349.5,12663.62,0,278.25,0.04,114.25,0.02
125,0.41,1658.41,-27007.92,12663.21,0,278.24,0.04,114.24,0.02
126,0.41,1658.41,-28666.33,12662.8,0,278.24,0.04,114.24,0.02
127,0.41,1658.41,-30324.74,12662.4,0,278.24,0.04,114.24,0.02
128,0.41,1658.41,-31983.15,12661.99,0,278.23,0.04,114.23,0.02
129,0.41,1658.41,-33641.56,12661.59,0,278.23,0.04,114.23,0.02
130,0.41,1658.41,-35299.98,12661.18,0,278.23,0.04,114.23,0.02
131,0.41,1658.41,-36958.39,12660.78,0,278.22,0.04,114.22,0.02
132,0.41,1658.41,-38616.8,12660.37,0,278.22,0.04,114.22,0.02
133,0.41,1658.41,-40275.21,12659.96,0,278.22,0.04,114.22,0.02
134,0.41,1658.41,-41933.63,12659.56,0,278.21,0.04,114.21,0.02
135,0.41,1658.41,-43592.04,12659.15,0,278.21,0.04,114.21,0.02
136,0.41,1658.41,-45250.45,12658.75,0,278.2,0.04,114.2,0.02
137,0.41,1658.41,-46908.86,12658.34,0,278.2,0.04,114.2,0.02
138,0.41,1658.41,-48567.28,12657.94,0,278.2,0.04,114.2,0.02
139,0.41,1658.41,-50225.69,12657.53,0,278.19,0.04,114.19,0.02
140,0.41,1658.41,-51884.1,12657.13,0,278.19,0.04,114.19,0.02
141,0.41,1658.41,-53542.51,12656.72,0,278.19,0.04,114.19,0.02
142,0.41,1658.41,-55200.92,12656.32,0,278.18,0.04,114.18,0.02
143,0.41,1658.41,-56859.34,12655.91,0,278.18,0.04,114.18,0.02
144,0.41,1658.41,-58517.75,12655.51,0,278.18,0.04,114.18,0.02
145,0.41,1658.41,-60176.16,12655.1,0,278.17,0.04,114.17,0.02
146,0.41,1658.41,-61834.57,12654.7,0,278.17,0.04,114.17,0.02
147,0.41,1658.41,-63492.99,12654.29,0,278.17,0.04,114.17,0.02
148,0.41,1658.41,-65151.4,12653.89,0,278.16,0.04,114.16,0.02
149,0.41,1658.41,-66809.81,12653.48,0,278.16,0.04,114.16,0.02
150,0.41,1658.41,-68468.22,12653.08,0,278.15,0.04,114.15,0.02
151,0.41,1658.41,-70126.63,12652.67,0,278.15,0.04,114.15,0.02
152,0.41,1658.41,-71785.05,12652.27,0,278.15,0.04,114.15,0.02
153,0.41,1658.41,-73443.46,12651.86,0,278.14,0.04,114.14,0.02
154,0.41,1658.41,-75101.87,12651.46,0,278.14,0.04,114.14,0.02
155,0.41,1658.41,-76760.28,12651.05,0,278.14,0.04,114.14,0.02
156,0.41,1658.41,-78418.7,12650.64,0,278.13,0.04,114.13,0.02
157,0.41,1658.41,-80077.11,12650.24,0,278.13,0.04,114.13,0.02
158,0.41,1658.41,-81735.52,12649.83,0,278.13,0.04,114.13,0.02
159,0.41,1658.41,-83393.93,12649.43,0,278.12,0.04,114.12,0.02
160,0.41,1658.41,-85052.35,12649.02,0,278.12,0.04,114.12,0.02
161,0.41,1658.41,-86710.76,12648.62,0,278.12,0.04,114.12,0.02
162,0.41,1658.41,-88369.17,12648.21,0,278.11,0.04,114.11,0.02
163,0.41,1658.41,-90027.58,12647.81,0,278.11,0.04,114.11,0.02
164,0.41,1658.41,-91685.99,12647.4,0,278.1,0.04,114.1,0.02
165,0.41,1658.41,-93344.41,12647,0,278.1,0.04,114.1,0.02
166,0.41,1658.41,-95002.82,12646.59,0,278.1,0.04,114.1,0.02
167,0.41,1658.41,-96661.23,12646.19,0,278.09,0.04,114.09,0.02
168,0.41,1658.41,-98319.64,12645.78,0,278.09,0.04,114.09,0.02
169,0.4,1658.41,-99978.06,12645.38,0,278.09,0.04,114.09,0.02
170,0.4,1658.41,-101636.47,12644.97,0,278.08,0.04,114.08,0.02
171,0.4,1658.41,-103294.88,12644.57,0,278.08,0.04,114.08,0.02
172,0.4,1658.41,-104953.29,12644.16,0,278.08,0.04,114.08,0.02
173,0.4,1658.41,-106611.7,12643.76,0,278.07,0.04,114.07,0.02
174,0.4,1658.41,-108270.12,12643.35,0,278.07,0.04,114.07,0.02
175,0.4,1658.41,-109928.53,12642.95,0,278.06,0.04,114.06,0.02
176,0.4,1658.41,-111586.94,12642.54,0,278.06,0.04,114.06,0.02
177,0.4,1658.41,-113245.35,12642.14,0,278.06,0.04,114.06,0.02
178,0.4,1658.41,-114903.77,12641.73,0,278.05,0.04,114.05,0.02
179,0.4,1658.41,-116562.18,12641.33,0,278.05,0.04,114.05,0.02
180,0.4,1658.41,-118220.59,12640.92,0,278.05,0.04,114.05,0.02
181,0.4,1658.41,-119879,12640.52,0,278.04,0.04,114.04,0.02
182,0.4,1658.41,-121537.41,12640.12,0,278.04,0.04,114.04,0.02
183,0.4,1658.41,-123195.83,12639.71,0,278.04,0.04,114.04,0.02
184,0.4,1658.41,-124854.24,12639.31,0,278.03,0.04,114.03,0.02
185,0.4,1658.41,-126512.65,12638.9,0,278.03,0.04,114.03,0.02
186,0.4,1658.41,-128171.06,12638.5,0,278.03,0.04,114.03,0.02
187,0.4,1658.41,-129829.48,12638.09,0,278.02,0.04,114.02,0.02
188,0.4,1658.41,-131487.89,12637.69,0,278.02,0.04,114.02,0.02
189,0.4,1658.41,-133146.3,12637.28,0,278.01,0.04,114.01,0.02
190,0.4,1658.41,-134804.71,12636.88,0,278.01,0.04,114.01,0.02
191,0.4,1658.41,-136463.13,12636.47,0,278.01,0.04,114.01,0.02
192,0.4,1658.41,-138121.54,12636.07,0,278,0.04,114,0.02
193,0.4,1658.41,-139779.95,12635.66,0,278,0.04,114,0.02
194,0.4,1658.41,-141438.36,12635.26,0,278,0.04,114,0.02
195,0.4,1658.41,-143096.77,12634.85,0,277.99,0.04,113.99,0.02
196,0.4,1658.41,-144755.19,12634.45,0,277.99,0.04,113.99,0.02
197,0.4,1658.41,-146413.6,12634.04,0,277.99,0.04,113.99,0.02
198,0.4,1658.41,-148072.01,12633.64,0,277.98,0.04,113.98,0.02
199,0.4,1658.41,-149730.42,12633.23,0,277.98,0.04,113.98,0.02
200,0.4,1658.41,-151388.84,12632.83,0,277.97,0.04,113.97,0.02
201,0.4,1658.41,-153047.25,12632.42,0,277.97,0.04,113.97,0.02
202,0.4,1658.41,-154705.66,12632.02,0,277.97,0.04,113.97,0.02
203,0.4,1658.41,-156364.07,12631.61,0,277.96,0.04,113.96,0.02
204,0.4,1658.41,-158022.48,12631.21,0,277.96,0.04,113.96,0.02
205,0.4,1658.41,-159680.9,12630.8,0,277.96,0.04,113.96,0.02
206,0.4,1658.41,-161339.31,12630.4,0,277.95,0.04,113.95,0.02
207,0.4,1658.41,-162997.72,12629.99,0,277.95,0.04,113.95,0.02
208,0.4,1658.41,-164656.13,12629.59,0,277.95,0.04,113.95,0.02
209,0.4,1658.41,-166314.55,12629.18,0,277.94,0.04,113.94,0.02
210,0.4,1658.41,-167972.96,12628.78,0,277.94,0.04,113.94,0.02
211,0.4,1658.41,-169631.37,12628.37,0,277.94,0.04,113.94,0.02
212,0.4,1658.41,-171289.78,12627.97,0,277.93,0.04,113.93,0.02
213,0.4,1658.41,-172948.2,12627.57,0,277.93,0.04,113.93,0.02
214,0.4,1658.41,-174606.61,12627.16,0,277.92,0.04,113.92,0.02
215,0.4,1658.41,-176265.02,12626.76,0,277.92,0.04,113.92,0.02
216,0.4,1658.41,-177923.43,12626.35,0,277.92,0.04,113.92,0.02
217,0.4,1658.41,-179581.84,12625.95,0,277.91,0.04,113.91,0.02
218,0.4,1658.41,-181240.26,12625.54,0,277.91,0.04,113.91,0.02
219,0.4,1658.41,-182898.67,12625.14,0,277.91,0.04,113.91,0.02
220,0.4,1658.41,-184557.08,12624.73,0,277.9,0.04,113.9,0.02
221,0.4,1658.41,-186215.49,12624.33,0,277.9,0.04,113.9,0.02
222,0.4,1658.41,-187873.91,12623.92,0,277.9,0.04,113.9,0.02
223,0.4,1658.41,-189532.32,12623.52,0,277.89,0.04,113.89,0.02
224,0.4,1658.41,-191190.73,12623.11,0,277.89,0.04,113.89,0.02
225,0.4,1658.41,-192849.14,12622.71,0,277.88,0.04,113.88,0.02
226,0.4,1658.41,-194507.55,12622.3,0,277.88,0.04,113.88,0.02
227,0.4,1658.41,-196165.97,12621.9,0,277.88,0.04,113.88,0.02
228,0.4,1658.41,-197824.38,12621.49,0,277.87,0.04,113.87,0.02
229,0.4,1658.41,-199482.79,12621.09,0,277.87,0.04,113.87,0.02
230,0.4,1658.41,-201141.2,12620.69,0,277.87,0.04,113.87,0.02
231,0.4,1658.41,-202799.62,12620.28,0,277.86,0.04,113.86,0.02
232,0.4,1658.41,-204458.03,12619.88,0,277.86,0.04,113.86,0.02
233,0.4,1658.41,-206116.44,12619.47,0,277.86,0.04,113.86,0.02
234,0.4,1658.41,-207774.85,12619.07,0,277.85,0.04,113.85,0.02
235,0.4,1658.41,-209433.26,12618.66,0,277.85,0.04,113.85,0.02
236,0.4,1658.41,-211091.68,12618.26,0,277.85,0.04,113.85,0.02
237,0.4,1658.41,-212750.09,12617.85,0,277.84,0.04,113.84,0.02
238,0.4,1658.41,-214408.5,12617.45,0,277.84,0.04,113.84,0.02
239,0.4,1658.41,-216066.91,12617.04,0,277.83,0.04,113.83,0.02
240,0.4,1658.41,-217725.33,12616.64,0,277.83,0.04,113.83,0.02
241,0.4,1658.41,-219383.74,12616.23,0,277.83,0.04,113.83,0.02
242,0.4,1658.41,-221042.15,12615.83,0,277.82,0.04,113.82,0.02
243,0.4,1658.41,-222700.56,12615.42,0,277.82,0.04,113.82,0.02
244,0.4,1658.41,-224358.98,12615.02,0,277.82,0.04,113.82,0.02
245,0.4,1658.41,-226017.39,12614.62,0,277.81,0.04,113.81,0.02
246,0.4,1658.41,-227675.8,12614.21,0,277.81,0.04,113.81,0.02
247,0.4,1658.41,-229334.21,12613.81,0,277.81,0.04,113.81,0.02
248,0.4,1658.41,-230992.62,12613.4,0,277.8,0.04,113.8,0.02
249,0.4,1658.41,-232651.04,12613,0,277.8,0.04,113.8,0.02
250,0.4,1658.41,-234309.45,12612.59,0,277.8,0.04,113.8,0.02
251,0.4,1658.41,-235967.86,12612.19,0,277.79,0.04,113.79,0.02
252,0.4,1658.41,-237626.27,12611.78,0,277.79,0.04,113.79,0.02
253,0.4,1658.41,-239284.69,12611.38,0,277.78,0.04,113.78,0.02
254,0.4,1658.41,-240943.1,12610.97,0,277.78,0.04,113.78,0.02
255,0.4,1658.41,-242601.51,12610.57,0,277.78,0.04,113.78,0.02
256,0.4,1658.41,-244259.92,12610.17,0,277.77,0.04,113.77,0.02
257,0.4,1658.41,-245918.33,12609.76,0,277.77,0.04,113.77,0.02
258,0.4,1658.41,-247576.75,12609.36,0,277.77,0.04,113.77,0.02
259,0.4,1658.41,-249235.16,12608.95,0,277.76,0.04,113.76,0.02
260,0.4,1658.41,-250893.57,12608.55,0,277.76,0.04,113.76,0.02
261,0.4,1658.41,-252551.98,12608.14,0,277.76,0.04,113.76,0.02
262,0.4,1658.41,-254210.4,12607.74,0,277.75,0.04,113.75,0.02
263,0.4,1658.41,-255868.81,12607.33,0,277.75,0.04,113.75,0.02
264,0.4,1658.41,-257527.22,12606.93,0,277.74,0.04,113.74,0.02
265,0.4,1658.41,-259185.63,12606.52,0,277.74,0.04,113.74,0.02
266,0.4,1658.41,-260844.05,12606.12,0,277.74,0.04,113.74,0.02
267,0.4,1658.41,-262502.46,12605.72,0,277.73,0.04,113.73,0.02
268,0.4,1658.41,-264160.87,12605.31,0,277.73,0.04,113.73,0.02
269,0.4,1658.41,-265819.28,12604.91,0,277.73,0.04,113.73,0.02
270,0.4,1658.41,-267477.69,12604.5,0,277.72,0.04,113.72,0.02
271,0.4,1658.41,-269136.11,12604.1,0,277.72,0.04,113.72,0.02
272,0.4,1658.41,-270794.52,12603.69,0,277.72,0.04,113.72,0.02
273,0.4,1658.41,-272452.93,12603.29,0,277.71,0.04,113.71,0.02
274,0.4,1658.41,-274111.34,12602.88,0,277.71,0.04,113.71,0.02
275,0.4,1658.41,-275769.76,12602.48,0,277.71,0.04,113.71,0.02
276,0.4,1658.41,-277428.17,12602.08,0,277.7,0.04,113.7,0.02
277,0.4,1658.41,-279086.58,12601.67,0,277.7,0.04,113.7,0.02
278,0.4,1658.41,-280744.99,12601.27,0,277.69,0.04,113.69,0.02
279,0.4,1658.41,-282403.4,12600.86,0,277.69,0.04,113.69,0.02
280,0.4,1658.41,-284061.82,12600.46,0,277.69,0.04,113.69,0.02
281,0.4,1658.41,-285720.23,12600.05,0,277.68,0.04,113.68,0.02
282,0.4,1658.41,-287378.64,12599.65,0,277.68,0.04,113.68,0.02
283,0.4,1658.41,-289037.05,12599.25,0,277.68,0.04,113.68,0.02
284,0.4,1658.41,-290695.47,12598.84,0,277.67,0.04,113.67,0.02
285,0.4,1658.41,-292353.88,12598.44,0,277.67,0.04,113.67,0.02
286,0.4,1658.41,-294012.29,12598.03,0,277.67,0.04,113.67,0.02
287,0.4,1658.41,-295670.7,12597.63,0,277.66,0.04,113.66,0.02
288,0.4,1658.41,-297329.11,12597.22,0,277.66,0.04,113.66,0.02
289,0.4,1658.41,-298987.53,12596.82,0,277.66,0.04,113.66,0.02
290,0.4,1658.41,-300645.94,12596.41,0,277.65,0.04,113.65,0.02
291,0.4,1658.41,-302304.35,12596.01,0,277.65,0.04,113.65,0.02
292,0.4,1658.41,-303962.76,12595.61,0,277.64,0.04,113.64,0.02
293,0.4,1658.41,-305621.18,12595.2,0,277.64,0.04,113.64,0.02
294,0.4,1658.41,-307279.59,12594.8,0,277.64,0.04,113.64,0.02
295,0.4,1658.41,-308938,12594.39,0,277.63,0.04,113.63,0.02
296,0.4,1658.41,-310596.41,12593.99,0,277.63,0.04,113.63,0.02
297,0.4,1658.41,-312254.83,12593.58,0,277.63,0.04,113.63,0.02
298,0.4,1658.41,-313913.24,12593.18,0,277.62,0.04,113.62,0.02
299,0.4,1658.41,-315571.65,12592.78,0,277.62,0.04,113.62,0.02
300,0.4,1658.41,-317230.06,12592.37,0,277.62,0.04,113.62,0.02
301,0.4,1658.41,-318888.47,12591.97,0,277.61,0.04,113.61,0.02
302,0.4,1658.41,-320546.89,12591.56,0,277.61,0.04,113.61,0.02
303,0.4,1658.41,-322205.3,12591.16,0,277.6,0.04,113.6,0.02
304,0.4,1658.41,-323863.71,12590.75,0,277.6,0.04,113.6,0.02
305,0.4,1658.41,-325522.12,12590.35,0,277.6,0.04,113.6,0.02
306,0.4,1658.41,-327180.54,12589.95,0,277.59,0.04,113.59,0.02
307,0.4,1658.41,-328838.95,12589.54,0,277.59,0.04,113.59,0.02
308,0.4,1658.41,-330497.36,12589.14,0,277.59,0.04,113.59,0.02
309,0.4,1658.41,-332155.77,12588.73,0,277.58,0.04,113.58,0.02
310,0.4,1658.41,-333814.18,12588.33,0,277.58,0.04,113.58,0.02
311,0.4,1658.41,-335472.6,12587.92,0,277.58,0.04,113.58,0.02
312,0.4,1658.41,-337131.01,12587.52,0,277.57,0.04,113.57,0.02
313,0.4,1658.41,-338789.42,12587.12,0,277.57,0.04,113.57,0.02
314,0.4,1658.41,-340447.83,12586.71,0,277.57,0.04,113.57,0.02
315,0.4,1658.41,-342106.25,12586.31,0,277.56,0.04,113.56,0.02
316,0.4,1658.41,-343764.66,12585.9,0,277.56,0.04,113.56,0.02
317,0.4,1658.41,-345423.07,12585.5,0,277.55,0.04,113.55,0.02
318,0.4,1658.41,-347081.48,12585.09,0,277.55,0.04,113.55,0.02
319,0.4,1658.41,-348739.9,12584.69,0,277.55,0.04,113.55,0.02
320,0.4,1658.41,-350398.31,12584.29,0,277.54,0.04,113.54,0.02
321,0.4,1658.41,-352056.72,12583.88,0,277.54,0.04,113.54,0.02
322,0.4,1658.41,-353715.13,12583.48,0,277.54,0.04,113.54,0.02
323,0.4,1658.41,-355373.54,12583.07,0,277.53,0.04,113.53,0.02
324,0.4,1658.41,-357031.96,12582.67,0,277.53,0.04,113.53,0.02
325,0.4,1658.41,-358690.37,12582.27,0,277.53,0.04,113.53,0.02
326,0.4,1658.41,-360348.78,12581.86,0,277.52,0.04,113.52,0.02
327,0.4,1658.41,-362007.19,12581.46,0,277.52,0.04,113.52,0.02
328,0.4,1658.41,-363665.61,12581.05,0,277.52,0.04,113.52,0.02
329,0.4,1658.41,-365324.02,12580.65,0,277.51,0.04,113.51,0.02
330,0.4,1658.41,-366982.43,12580.24,0,277.51,0.04,113.51,0.02
331,0.4,1658.41,-368640.84,12579.84,0,277.5,0.04,113.5,0.02
332,0.4,1658.41,-370299.25,12579.44,0,277.5,0.04,113.5,0.02
333,0.4,1658.41,-371957.67,12579.03,0,277.5,0.04,113.5,0.02
334,0.4,1658.41,-373616.08,12578.63,0,277.49,0.04,113.49,0.02
335,0.4,1658.41,-375274.49,12578.22,0,277.49,0.04,113.49,0.02
336,0.4,1658.41,-376932.9,12577.82,0,277.49,0.04,113.49,0.02
337,0.4,1658.41,-378591.32,12577.42,0,277.48,0.04,113.48,0.02
338,0.4,1658.41,-380249.73,12577.01,0,277.48,0.04,113.48,0.02
339,0.4,1658.41,-381908.14,12576.61,0,277.48,0.04,113.48,0.02
340,0.4,1658.41,-383566.55,12576.2,0,277.47,0.04,113.47,0.02
341,0.4,1658.41,-385224.96,12575.8,0,277.47,0.04,113.47,0.02
342,0.4,1658.41,-386883.38,12575.4,0,277.46,0.04,113.46,0.02
343,0.4,1658.41,-388541.79,12574.99,0,277.46,0.04,113.46,0.02
344,0.4,1658.41,-390200.2,12574.59,0,277.46,0.04,113.46,0.02
345,0.4,1658.41,-391858.61,12574.18,0,277.45,0.04,113.45,0.02
346,0.4,1658.41,-393517.03,12573.78,0,277.45,0.04,113.45,0.02
347,0.4,1658.41,-395175.44,12573.37,0,277.45,0.04,113.45,0.02
348,0.4,1658.41,-396833.85,12572.97,0,277.44,0.04,113.44,0.02
349,0.4,1658.41,-398492.26,12572.57,0,277.44,0.04,113.44,0.02
350,0.4,1658.41,-400150.68,12572.16,0,277.44,0.04,113.44,0.02
